attendance_id,student_id,session_id,qr_version,pin_correct,typing_time,scan_to_submit_time,fingerprint_hash,duplicate_hash,duplicate_ip,duplicate_browser,duplicate_device,duplicate_session,risk_score,rule_label,teacher_label,created_at,latitude,longitude,gps_accuracy,distance_from_campus,inside_geofence
48,STU011,84,4,1,2.1,2.41,fp_48288d5290a7,1,0,0,1,1,68,SUSPICIOUS,1,2026-04-29T16:58:02,21.1347064,81.1353646,20.41,99.88,1
49,STU030,28,1,1,2.86,5.7,fp_34cd46d54b5a,1,0,1,0,1,87,SUSPICIOUS,1,2026-05-03T09:19:10,21.1317198,81.1320782,40.36,505.25,0
50,STU073,31,6,1,2.51,4.45,fp_fa023490fd74,0,1,1,0,0,27,NORMAL,1,2026-04-14T13:01:40,21.1348162,81.1363917,14.8,72.61,1
51,STU035,101,3,1,2.12,7.45,fp_b70c5ddb56e8,0,0,0,0,0,0,NORMAL,0,2026-04-17T11:45:04,21.1344815,81.1368663,18.82,79.66,1
52,STU011,35,6,1,3.43,6.27,fp_f65a5b250b6f,0,0,0,0,0,3,NORMAL,0,2026-02-20T12:06:08,21.1340512,81.1363512,5.47,25.83,1
53,STU012,24,5,1,3.72,10.79,fp_4e8e99a1cde8,0,0,0,0,0,2,NORMAL,0,2026-01-06T12:26:24,21.1352751,81.136923,19.15,143.36,1
54,STU100,11,2,1,9.35,9.74,fp_80e9086348f8,0,0,0,0,0,8,NORMAL,0,2026-01-26T14:17:26,21.1336587,81.1367,6.75,82.21,1
55,STU039,62,2,1,4.49,8.7,fp_0263f27e4238,0,0,0,0,0,12,NORMAL,0,2026-02-16T14:51:55,21.1335162,81.1354999,15.36,102.32,1
56,STU043,57,2,1,1.05,4.93,fp_048e7ef65d96,0,0,0,0,1,25,NORMAL,1,2026-02-15T14:17:52,21.1336972,81.1365608,11.62,69.67,1
57,STU051,47,2,1,2.57,17.13,fp_f889ebfed3e2,0,0,0,0,1,17,NORMAL,1,2026-04-01T15:08:40,21.1335078,81.1363425,22.13,79.26,1
58,STU039,31,6,1,2.29,5.81,fp_ad2a80997e7f,1,0,0,0,0,52,SUSPICIOUS,1,2026-03-15T08:50:23,21.1299725,81.1335845,17.43,540.67,0
59,STU090,115,1,1,3.94,5.32,fp_643b009263b7,0,0,0,0,0,2,NORMAL,0,2026-04-11T13:50:27,21.1341092,81.1359962,7.49,19.76,1
60,STU014,2,6,1,6.69,12.62,fp_93cb14cee085,0,1,0,0,0,14,NORMAL,0,2026-02-18T08:30:06,21.1335992,81.1358306,15.04,75.04,1
61,STU038,54,6,1,5.71,5.98,fp_c418af7aef2d,0,0,0,0,0,3,NORMAL,0,2026-01-17T15:46:44,21.1339915,81.1362244,8.59,24.13,1
62,STU058,41,6,1,7.52,4.79,fp_7826c3deb4fa,0,1,1,0,0,25,NORMAL,0,2026-03-12T10:35:10,21.1340895,81.1360013,21.28,20.54,1
63,STU043,72,4,1,5.21,24.12,fp_394b3a35f872,0,0,0,0,0,0,NORMAL,0,2026-03-03T14:24:00,21.1337547,81.1354352,13.68,90.02,1
64,STU091,28,1,1,2.56,6.98,fp_52267c32f31b,0,0,0,0,0,13,NORMAL,0,2026-03-13T13:38:24,21.133474,81.1359763,12.88,82.94,1
65,STU079,51,4,1,4.18,7.18,fp_89ac0bbfe7f8,0,0,0,0,0,0,NORMAL,0,2026-04-01T10:20:07,21.1339831,81.1353406,11.03,88.34,1
66,STU031,40,2,1,1.99,9.28,fp_1174d4308928,0,1,0,0,0,24,NORMAL,0,2026-03-17T10:31:18,21.1346308,81.1367033,13.36,73.96,1
67,STU018,24,1,1,2.48,11.14,fp_85307e87cc6f,0,0,0,0,0,3,NORMAL,0,2026-02-26T15:26:45,21.1331093,81.1362734,8.27,121.85,1
68,STU057,63,1,1,1.65,10.85,fp_4761b44f7a67,0,0,0,0,1,58,SUSPICIOUS,1,2026-03-19T09:17:49,21.1335508,81.1389678,24.08,300.02,0
69,STU070,106,1,1,2.81,7.79,fp_0592e369ce74,0,0,0,0,0,0,NORMAL,0,2026-02-12T08:28:16,21.13439,81.1371773,14.48,107.6,1
70,STU045,111,1,1,5.77,5.17,fp_9a83918f347e,0,0,0,0,0,2,NORMAL,0,2026-01-26T10:50:13,21.1345673,81.1351782,18.87,109.71,1
71,STU027,104,3,1,4.43,16.21,fp_6869f1da8694,0,1,0,0,0,13,NORMAL,0,2026-01-22T14:58:03,21.1349629,81.1360514,10.9,85.58,1
72,STU036,111,2,1,1.21,5.48,fp_27bb7491278d,1,0,0,0,1,48,SUSPICIOUS,1,2026-02-25T16:47:17,21.1334345,81.135726,10.26,96.29,1
73,STU089,120,5,0,2.81,7.39,fp_cc299f288c97,1,0,1,0,1,70,SUSPICIOUS,1,2026-02-28T11:31:17,21.1337211,81.1353023,133.44,103.68,1
74,STU042,107,2,1,2.29,4.97,fp_892bcc7c4a25,0,0,0,0,0,3,NORMAL,0,2026-01-07T09:59:54,21.1337932,81.1368128,34.98,81.43,1
75,STU021,57,6,1,3.16,5.8,fp_d3ec3a0d2142,1,0,1,0,0,59,SUSPICIOUS,1,2026-01-11T14:40:19,21.1388178,81.1313072,5.52,719.0,0
76,STU093,90,1,1,4.48,10.52,fp_47cc67282924,0,0,0,0,0,11,NORMAL,0,2026-04-19T09:55:27,21.1350736,81.1371919,9.11,144.53,1
77,STU089,17,1,1,2.95,9.99,fp_2ff979ef7b75,0,0,0,0,0,0,NORMAL,0,2026-03-28T10:04:33,21.1338387,81.1370813,26.79,103.65,1
78,STU073,2,3,1,4.56,6.53,fp_6369eb702f44,0,0,0,0,0,0,NORMAL,0,2026-01-16T09:08:48,21.1347355,81.1369647,14.12,102.53,1
79,STU016,76,3,1,5.79,6.34,fp_c389a6c3b2f5,0,1,1,0,0,25,NORMAL,1,2026-01-31T16:38:32,21.1341376,81.1357948,72.35,38.5,1
80,STU025,96,2,1,2.34,12.09,fp_8b6f30de3066,0,0,0,0,0,1,NORMAL,0,2026-05-04T13:08:24,21.1335542,81.1361618,19.04,71.81,1
81,STU073,54,4,1,1.61,7.41,fp_9c084d85b3b7,1,0,0,0,0,65,SUSPICIOUS,1,2026-03-26T16:49:26,21.1340634,81.1380688,158.93,198.56,0
82,STU055,90,5,1,6.74,6.22,fp_f7a3d54d68b2,0,0,0,0,0,0,NORMAL,0,2026-03-14T13:25:37,21.1339085,81.1369506,16.81,88.17,1
83,STU082,98,1,1,6.17,10.84,fp_5ad18b6b26fc,0,0,0,0,0,0,NORMAL,0,2026-03-04T08:19:42,21.1346036,81.1360296,9.44,46.87,1
84,STU095,85,6,1,5.79,21.13,fp_9c1cb1714c1f,0,0,0,0,0,0,NORMAL,0,2026-01-26T13:08:47,21.133457,81.1373056,16.97,144.72,1
85,STU100,112,1,1,3.58,6.41,fp_5e4a0c3824ec,0,0,0,0,0,3,NORMAL,0,2026-03-04T16:23:03,21.1337534,81.1360877,10.1,50.23,1
86,STU064,110,3,1,2.68,6.23,fp_1a8ef653cb05,0,0,0,0,0,0,NORMAL,0,2026-01-10T08:15:02,21.1337485,81.1352228,6.11,109.4,1
87,STU061,47,1,1,3.86,10.49,fp_b63cbfbd52e4,0,0,0,0,0,11,NORMAL,0,2026-02-08T09:36:23,21.134158,81.1353935,14.32,79.64,1
88,STU016,65,2,1,4.53,13.06,fp_c70b78f7c797,0,0,0,0,0,10,NORMAL,0,2026-02-15T09:35:29,21.1351793,81.1358484,4.86,113.59,1
89,STU002,48,3,1,4.02,17.31,fp_0a563dcd8ddc,0,0,0,0,0,0,NORMAL,0,2026-04-08T16:48:50,21.1335621,81.1369043,29.24,104.84,1
90,STU032,20,1,1,2.22,19.48,fp_03eb6abfefd4,0,0,1,0,0,20,NORMAL,1,2026-02-27T15:03:09,21.1353099,81.1361709,20.75,123.42,1
91,STU092,36,5,1,3.31,3.26,fp_157d360980ed,1,0,0,0,0,22,NORMAL,1,2026-03-01T10:15:18,21.1332476,81.1361252,20.2,105.97,1
92,STU034,109,6,1,2.47,11.18,fp_9a29989634bc,0,0,0,0,0,0,NORMAL,0,2026-04-14T09:09:06,21.1331912,81.1364908,9.31,117.31,1
93,STU022,58,5,1,3.62,12.41,fp_0e79fd5c0110,0,0,0,0,0,0,NORMAL,0,2026-01-25T12:52:45,21.1337418,81.1363131,15.51,53.37,1
94,STU090,78,3,1,4.95,8.71,fp_f297fb8b63ff,0,1,0,0,0,14,NORMAL,0,2026-01-08T14:54:28,21.1344206,81.1361124,44.94,25.02,1
95,STU072,96,1,1,2.73,4.55,fp_3ab0a1a3e363,0,0,0,0,0,12,NORMAL,0,2026-02-21T09:37:37,21.1352181,81.1362422,25.42,113.53,1
96,STU034,118,1,1,3.27,13.23,fp_1d3d12de15ea,0,0,1,0,0,8,NORMAL,0,2026-01-10T15:03:10,21.1343038,81.1358754,5.48,31.7,1
97,STU074,56,1,1,4.4,5.14,fp_810093483039,0,0,0,0,0,9,NORMAL,0,2026-01-09T11:41:18,21.1338903,81.1365939,27.52,56.67,1
98,STU064,53,1,1,4.32,10.7,fp_8256d2ab536e,0,0,0,0,0,0,NORMAL,0,2026-02-22T13:30:34,21.1343201,81.1365518,26.89,42.77,1
99,STU063,45,3,0,1.68,5.4,fp_1418c691b0ac,1,1,0,0,1,100,SUSPICIOUS,1,2026-01-25T09:15:42,21.1353752,81.1292081,4.58,732.77,0
100,STU031,35,6,1,4.11,5.38,fp_e0df524be7e3,0,0,0,0,0,1,NORMAL,0,2026-05-04T10:11:15,21.1342216,81.1362788,25.86,12.55,1
101,STU076,41,6,1,2.94,6.62,fp_eba9bb8f03a0,0,1,0,1,0,38,SUSPICIOUS,1,2026-01-09T09:03:14,21.1349266,81.1361012,26.8,81.02,1
102,STU078,29,3,1,6.51,14.46,fp_bf41c4994178,0,1,0,0,0,16,NORMAL,0,2026-01-12T08:09:37,21.134991,81.1370687,22.36,128.92,1
103,STU091,118,5,1,1.34,3.13,fp_0462c03b44a8,0,0,0,1,0,54,SUSPICIOUS,1,2026-04-08T14:50:40,21.1287656,81.1406443,5.73,762.54,0
104,STU063,84,5,1,5.04,11.34,fp_ba5c93c054c5,0,0,0,0,0,0,NORMAL,0,2026-02-22T12:46:44,21.1344043,81.1352346,9.03,98.63,1
105,STU038,17,6,1,5.04,40.0,fp_b35d4c53b441,0,0,1,0,0,10,NORMAL,0,2026-03-27T09:59:31,21.135396,81.1361139,60.12,133.07,1
106,STU019,43,3,1,5.17,15.0,fp_b4a6ee273529,0,0,0,0,0,1,NORMAL,0,2026-03-03T08:16:13,21.1344111,81.1363011,22.14,27.66,1
107,STU032,89,1,1,6.14,12.07,fp_e0e3bc440c49,0,1,0,0,0,16,NORMAL,0,2026-03-15T14:06:53,21.1330652,81.1368323,7.49,144.16,1
108,STU062,101,1,1,2.17,7.31,fp_831a3884c73f,1,0,1,0,1,73,SUSPICIOUS,1,2026-02-17T15:45:01,21.1403762,81.1394922,7.59,768.82,0
109,STU056,84,2,1,2.83,8.09,fp_588605bf5362,0,0,0,0,0,0,NORMAL,0,2026-03-30T12:19:15,21.1343086,81.1361411,14.05,12.23,1
110,STU013,7,4,1,3.22,9.34,fp_7a86b86ff0da,0,0,0,0,0,3,NORMAL,0,2026-01-30T09:01:13,21.1339921,81.136269,10.95,25.73,1
111,STU022,82,1,1,11.33,3.88,fp_1dbca2ff42aa,0,0,0,0,0,0,NORMAL,0,2026-02-21T14:23:11,21.1337817,81.1361908,20.85,46.63,1
112,STU058,6,2,1,5.45,4.36,fp_fd45958ae61f,0,0,0,0,0,2,NORMAL,0,2026-04-11T11:35:03,21.1348177,81.1370852,21.8,118.01,1
113,STU050,105,6,1,3.23,14.69,fp_c57cd0dbedfb,0,0,0,0,0,0,NORMAL,0,2026-03-10T16:51:36,21.1350078,81.1353635,75.14,122.03,1
114,STU087,80,4,1,4.12,5.54,fp_0e1bfa879f9a,0,0,0,0,0,2,NORMAL,0,2026-01-15T14:12:52,21.134451,81.1361125,24.83,28.34,1
115,STU081,19,4,1,1.81,7.02,fp_5e5128df4514,0,1,0,0,1,47,SUSPICIOUS,1,2026-01-19T14:09:09,21.1334903,81.1360654,150.04,79.53,1
116,STU073,76,1,1,2.88,9.92,fp_27e9897da433,0,0,0,0,0,12,NORMAL,0,2026-02-07T14:41:31,21.1351406,81.1369023,10.72,129.87,1
117,STU074,78,4,0,2.55,3.61,fp_f4e15ec77b80,1,1,0,0,0,56,SUSPICIOUS,1,2026-01-07T13:52:50,21.1341549,81.136246,9.41,10.24,1
118,STU039,40,6,1,10.5,11.97,fp_351dd44a753a,0,0,0,0,0,1,NORMAL,0,2026-02-08T14:38:41,21.134321,81.1370906,11.11,97.46,1
119,STU012,25,4,1,1.61,9.79,fp_fc1f09b4456e,0,0,0,0,0,9,NORMAL,0,2026-01-13T12:45:32,21.1348343,81.1354097,25.17,105.03,1
120,STU052,18,5,1,2.97,13.21,fp_54bf79546653,0,0,0,0,0,3,NORMAL,0,2026-01-11T13:45:12,21.1342399,81.1360855,25.6,8.91,1
121,STU036,48,6,1,2.8,8.55,fp_5d4708e8bae2,0,0,0,0,0,3,NORMAL,0,2026-03-21T16:22:22,21.134259,81.1374081,16.2,129.61,1
122,STU021,108,4,0,3.14,7.71,fp_6230253cc4a0,0,1,0,1,1,62,SUSPICIOUS,1,2026-03-06T10:41:11,21.1342475,81.1364832,8.58,33.93,1
123,STU077,103,3,1,2.33,7.74,fp_02783c2407d2,0,1,0,0,0,18,NORMAL,0,2026-02-06T11:29:19,21.1340555,81.1371236,27.18,101.22,1
124,STU087,67,1,1,3.23,6.71,fp_01083f0c0b48,0,0,0,0,0,0,NORMAL,0,2026-02-12T09:30:04,21.1342527,81.1361479,25.66,5.99,1
125,STU044,36,3,1,8.85,10.8,fp_27ff9a7be63c,0,0,0,0,0,0,NORMAL,0,2026-04-30T08:51:54,21.1337116,81.1354252,8.09,93.58,1
126,STU077,52,6,1,2.27,13.6,fp_ee55cd5ad077,0,0,0,0,0,0,NORMAL,0,2026-03-20T11:21:46,21.1341786,81.136238,27.49,8.44,1
127,STU092,29,4,1,10.39,14.32,fp_73b3d47d93d0,0,0,0,0,0,0,NORMAL,0,2026-02-11T09:30:08,21.1330556,81.1361036,25.83,127.38,1
128,STU095,34,2,1,2.02,7.24,fp_4637ea12bf9a,0,0,0,0,0,2,NORMAL,0,2026-04-15T13:23:16,21.133525,81.1351033,9.0,132.83,1
129,STU075,38,1,1,4.42,3.51,fp_7264ec7922f5,0,0,1,1,0,39,SUSPICIOUS,1,2026-01-22T11:21:26,21.1340686,81.1361596,26.42,14.61,1
130,STU073,115,3,1,4.88,12.75,fp_50d294485d9f,0,0,0,0,0,1,NORMAL,0,2026-03-27T08:00:28,21.1351542,81.1367292,11.98,121.42,1
131,STU036,27,2,1,2.64,8.76,fp_30414a0746f9,0,0,0,0,0,13,NORMAL,0,2026-02-23T08:02:34,21.134744,81.1365201,19.59,71.09,1
132,STU026,94,3,1,0.93,5.68,fp_257e184cfeb7,0,0,1,0,0,20,NORMAL,0,2026-04-03T13:19:08,21.1351577,81.1362761,3.11,107.17,1
133,STU014,50,1,1,2.23,2.68,fp_7800e5f7410f,1,1,0,0,0,88,SUSPICIOUS,1,2026-02-19T11:10:58,21.1295826,81.1327332,12.12,624.45,0
134,STU052,3,2,1,8.34,4.73,fp_6967765e90c7,0,0,0,0,0,10,NORMAL,0,2026-04-13T16:39:03,21.1351313,81.1371357,22.2,144.79,1
135,STU077,7,1,1,3.28,9.55,fp_98e64cf32c95,0,0,0,0,0,0,NORMAL,0,2026-04-03T08:19:26,21.1341027,81.136198,6.34,11.51,1
136,STU085,13,6,1,4.78,2.44,fp_97b2d0dec204,1,1,0,0,0,50,SUSPICIOUS,1,2026-02-19T14:18:10,21.1338118,81.1361659,19.44,43.17,1
137,STU006,71,4,1,6.75,9.04,fp_44380146756d,0,0,0,0,0,0,NORMAL,0,2026-01-16T16:04:46,21.1352975,81.1353805,25.55,146.38,1
138,STU093,13,4,1,2.57,11.08,fp_fdbd871711de,0,0,0,0,0,0,NORMAL,0,2026-04-24T12:23:51,21.1329859,81.1364572,5.69,138.47,1
139,STU087,41,1,1,2.73,3.7,fp_a8d84d1e300e,0,0,0,1,0,53,SUSPICIOUS,1,2026-02-21T13:11:07,21.1328777,81.1342793,11.87,244.26,0
140,STU052,52,4,1,2.58,4.12,fp_9550027aa224,0,1,1,0,1,48,SUSPICIOUS,1,2026-04-17T15:11:39,21.13437,81.1362304,121.6,20.26,1
141,STU049,100,6,1,4.21,12.12,fp_394b3a35f872,0,0,1,0,0,12,NORMAL,0,2026-03-02T08:04:16,21.1350656,81.1354094,16.04,123.79,1
142,STU084,41,5,1,8.17,5.16,fp_643b009263b7,0,1,0,0,0,16,NORMAL,0,2026-03-12T16:44:44,21.1333036,81.135744,29.4,108.62,1
143,STU080,13,4,1,10.45,3.74,fp_b70c5ddb56e8,0,0,0,0,0,0,NORMAL,0,2026-01-06T10:32:54,21.1338516,81.1364898,25.65,51.68,1
144,STU061,110,3,1,2.33,6.71,fp_e0e3bc440c49,0,0,1,0,0,38,SUSPICIOUS,1,2026-01-16T15:28:20,21.1325315,81.1339036,13.89,298.65,0
145,STU016,64,4,0,2.84,3.66,fp_0c482f9d770a,0,0,1,0,0,28,NORMAL,1,2026-02-17T13:52:03,21.1335467,81.1353395,27.03,111.89,1
146,STU029,109,5,1,3.64,7.21,fp_97b2d0dec204,0,0,0,0,0,0,NORMAL,0,2026-01-05T13:22:53,21.1336948,81.1367878,15.22,85.99,1
147,STU082,103,1,1,1.92,7.65,fp_44380146756d,0,0,0,1,0,45,SUSPICIOUS,1,2026-04-06T13:06:48,21.1341745,81.1371743,165.22,105.24,1
148,STU054,6,5,1,4.7,6.59,fp_02783c2407d2,0,0,0,0,0,3,NORMAL,0,2026-01-05T16:47:03,21.1340124,81.1362152,18.91,21.63,1
149,STU071,120,5,1,6.0,10.33,fp_7a86b86ff0da,0,0,0,0,0,0,NORMAL,0,2026-02-23T13:32:56,21.1338449,81.1351655,7.69,110.45,1
150,STU050,54,2,1,5.77,11.95,fp_831a3884c73f,0,0,0,0,0,10,NORMAL,0,2026-04-22T16:55:20,21.1345707,81.1360855,15.23,41.94,1
151,STU092,95,2,1,2.75,6.99,fp_28f4dae05c99,0,0,0,0,0,0,NORMAL,0,2026-03-10T16:44:40,21.1340838,81.135864,27.87,33.31,1
152,STU042,91,4,1,5.6,11.84,fp_7826c3deb4fa,0,1,0,0,0,15,NORMAL,0,2026-04-27T14:51:00,21.1340134,81.1353784,21.2,83.68,1
153,STU067,14,6,1,3.96,9.49,fp_332bf13ca47c,0,1,0,0,0,14,NORMAL,0,2026-04-22T08:44:50,21.1342252,81.1360411,29.56,12.64,1
154,STU038,27,1,1,4.44,3.72,fp_d3ec3a0d2142,0,0,1,0,0,7,NORMAL,1,2026-05-03T14:24:26,21.1339569,81.1363787,16.79,35.28,1
155,STU088,41,6,1,5.12,8.22,fp_cc299f288c97,0,0,0,0,0,1,NORMAL,0,2026-04-11T16:47:38,21.1342676,81.1357917,26.49,38.93,1
156,STU026,100,4,1,3.63,14.76,fp_892bcc7c4a25,0,0,0,0,0,2,NORMAL,0,2026-01-10T14:17:35,21.1343004,81.1364176,7.69,28.95,1
